"Avg_price";"Category";"Date";"Name";"Quantaty";"Vendor"
"16622";"NB";"2019-10-01";"Acer ASPIRE 1 (A114-31)";"1";"Acer"
"16570";"NB";"2019-10-01";"Acer ASPIRE 1 (A114-32)";"5";"Acer"
"19990";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-21)";"732";"Acer"
"23729";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-21G)";"345";"Acer"
"20990";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-31)";"2";"Acer"
"18690";"NB";"2019-10-01";"Acer Aspire 3 (A315-32)";"40";"Acer"
"18690";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-33)";"8";"Acer"
"25020";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-41)";"211";"Acer"
"32377";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-41G)";"119";"Acer"
"24780";"NB";"2019-10-01";"Acer Aspire 3 (A315-42)";"340";"Acer"
"29190";"NB";"2019-10-01";"Acer Aspire 3 (A315-42G)";"142";"Acer"
"29690";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-51)";"520";"Acer"
"29440";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-53)";"111";"Acer"
"37990";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-53G)";"40";"Acer"
"27010";"NB";"2019-10-01";"Acer ASPIRE 3 (A315-54K)";"175";"Acer"
"42690";"NB";"2019-10-01";"Acer Aspire 3 (A315-55G)";"33";"Acer"
"33582";"NB";"2019-10-01";"Acer Aspire 3 (A315-55KG)";"86";"Acer"
"38962";"NB";"2019-10-01";"Acer ASPIRE 3 (A317-51)";"114";"Acer"
"38990";"NB";"2019-10-01";"Acer ASPIRE 5 (A515-51G)";"16";"Acer"
"39990";"NB";"2019-10-01";"Acer Aspire 5 (A515-52G)";"7";"Acer"
"44183";"NB";"2019-10-01";"Acer Aspire 5 (A515-54)";"14";"Acer"
"47871";"NB";"2019-10-01";"Acer ASPIRE 5 (A517-51G)";"91";"Acer"
"57990";"NB";"2019-10-01";"Acer ASPIRE 7 (A715-71G)";"15";"Acer"
"63990";"NB";"2019-10-01";"Acer ASPIRE 7 (A715-72G)";"15";"Acer"
"43190";"NB";"2019-10-01";"Acer ASPIRE E 15 (E5-576)";"6";"Acer"
"43321";"NB";"2019-10-01";"Acer ASPIRE E 15 (E5-576G)";"86";"Acer"
"15690";"NB";"2019-10-01";"Acer ASPIRE E1-532-29572G50Mn";"1";"Acer"
"16990";"NB";"2019-10-01";"Acer ASPIRE E5-521-42HT";"1";"Acer"
"16990";"NB";"2019-10-01";"Acer ASPIRE E5-521-45Q4";"1";"Acer"
"15990";"NB";"2019-10-01";"Acer ASPIRE E5-521-493T";"1";"Acer"
"21990";"NB";"2019-10-01";"Acer ASPIRE E5-523-6973";"1";"Acer"
"16990";"NB";"2019-10-01";"Acer ASPIRE E5-532-C35F";"1";"Acer"
"17490";"NB";"2019-10-01";"Acer ASPIRE E5-532-C43N";"1";"Acer"
"17990";"NB";"2019-10-01";"Acer ASPIRE E5-532-C54H";"1";"Acer"
"15990";"NB";"2019-10-01";"Acer ASPIRE E5-532-C5SZ";"1";"Acer"
"16990";"NB";"2019-10-01";"Acer ASPIRE E5-532-C6UW";"1";"Acer"
"19990";"NB";"2019-10-01";"Acer ASPIRE E5-532-C7VP";"1";"Acer"
"18990";"NB";"2019-10-01";"Acer ASPIRE E5-532-P8N6";"1";"Acer"
"19990";"NB";"2019-10-01";"Acer ASPIRE E5-532-P9Y5";"1";"Acer"
