;Name;Screen_size;Video_conf;Clusters_Screen/GPU
0;ASUS VivoBook 15 X512;"15""";Integrated;"Integrated GPU (15"">)"
1;ASUS Laptop 15 X509;"15""";External MS;"Ex. Mainstream GPU (15"">)"
2;ASUS TUF Gaming FX505;"15""";External GM;"Gamer GPU (15"">)"
3;"Xiaomi RedmiBook 14""";"14""";External MS;"Thin (13""-14"")"
4;Lenovo IdeaPad S340-15 AMD;"15""";Integrated;"Integrated GPU (15"">)"
5;ASUS ZenBook 14 UM431;"14""";Integrated;"Thin (13""-14"")"
6;Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2019;"13""";Integrated;"Thin (13""-14"")"
7;Acer ASPIRE 3 (A315-54K);"15""";Integrated;"Integrated GPU (15"">)"
8;Lenovo IdeaPad S340-14 Intel;"14""";Integrated;"Thin (13""-14"")"
9;Lenovo Ideapad L340-15 AMD;"15""";Integrated;"Integrated GPU (15"">)"
10;HP 250 G6;"15""";Integrated;"Integrated GPU (15"">)"
11;ASUS M509;"15""";Integrated;"Integrated GPU (15"">)"
12;Lenovo Ideapad L340-15 Intel;"15""";External GM;"Gamer GPU (15"">)"
13;Lenovo Ideapad L340-17 AMD;"16"">";External GM;"Gamer GPU (15"">)"
14;HP 250 G7;"15""";Integrated;"Integrated GPU (15"">)"
15;ASUS VivoBook S15 S531;"15""";Integrated;"Integrated GPU (15"">)"
16;ASUS ZenBook 14 UX433;"14""";External MS;"Thin (13""-14"")"
17;Acer TravelMate P2 (TMP259);"15""";External MS;"Ex. Mainstream GPU (15"">)"
18;ASUS M570;"15""";External GM;"Gamer GPU (15"">)"
19;Lenovo Ideapad 330 15 Intel;"15""";External GM;"Gamer GPU (15"">)"
20;ASUS ZenBook UX410UA;"14""";Integrated;"Thin (13""-14"")"
21;Acer SWIFT 3 (SF314-58);"14""";Integrated;"Thin (13""-14"")"
22;ASUS VivoBook S13 S330;"13""";External MS;"Thin (13""-14"")"
23;ASUS VivoBook X543;None;Integrated;None
24;ASUS VivoBook 14 X403;"14""";Integrated;"Thin (13""-14"")"
25;Lenovo V130 15;"15""";Integrated;"Integrated GPU (15"">)"
26;Lenovo IdeaPad S145;None;External MS;None
27;ASUS VivoBook A512;"15""";Integrated;"Integrated GPU (15"">)"
28;"Xiaomi Mi Notebook Air 13.3"" 2019";"13""";External MS;"Thin (13""-14"")"
29;ASUS VivoBook 17 X712;"16"">";External MS;"Ex. Mainstream GPU (15"">)"
30;Acer Aspire 5 (A515-54);"15""";Integrated;"Integrated GPU (15"">)"
31;MSI GF63 Thin 9RCX;"15""";External GM;"Gamer GPU (15"">)"
32;Acer Aspire 3 (A315-42G);"15""";External GM;"Gamer GPU (15"">)"
33;Acer Aspire 3 (A315-42);"15""";Integrated;"Integrated GPU (15"">)"
34;Lenovo IdeaPad S340-15 Intel;"15""";External MS;"Ex. Mainstream GPU (15"">)"
35;DELL XPS 15 7590;"15""";External GM;"Gamer GPU (15"">)"
36;Lenovo Ideapad L340 (15) Gaming;None;External GM;None
37;Xiaomi Mi Notebook Pro 15.6 GTX;"15""";External GM;"Gamer GPU (15"">)"
38;ASUS VivoBook 15 X540;"15""";Integrated;"Integrated GPU (15"">)"
39;DELL Vostro 5590;"15""";External MS;"Ex. Mainstream GPU (15"">)"
40;ASUS E203MA;"<12""";Integrated;"Mini (<12"")"
41;ASUS ZenBook 15 UX533;"15""";External GM;"Gamer GPU (15"">)"
42;Acer ASPIRE 3 (A315-21);"15""";Integrated;"Integrated GPU (15"">)"
43;Xiaomi Mi Notebook Pro 15.6 2019;"15""";External MS;"Ex. Mainstream GPU (15"">)"
44;Acer Extensa 15 EX215-51;"15""";Integrated;"Integrated GPU (15"">)"
45;Apple MacBook Air 13 дисплей Retina с технологией True Tone Mid 2019;"13""";Integrated;"Thin (13""-14"")"
46;MSI Modern 14 A10M;"14""";Integrated;"Thin (13""-14"")"
47;HP Pavilion Gaming 15-ec0000;"15""";External GM;"Gamer GPU (15"">)"
48;HP PAVILION 17-cd0000;"16"">";External GM;"Gamer GPU (15"">)"
49;DELL Inspiron 5491 2-in-1;"14""";External MS;"Thin (13""-14"")"
50;"Xiaomi RedmiBook 14"" Enhanced Edition";"14""";External MS;"Thin (13""-14"")"
51;ASUS VivoBook X420;"14""";Integrated;"Thin (13""-14"")"
52;DELL Inspiron 3582;"15""";Integrated;"Integrated GPU (15"">)"
53;ASUS Zenbook 14 UX431;"14""";Integrated;"Thin (13""-14"")"
54;ASUS ZenBook Flip 15 UX563;"15""";External GM;"Gamer GPU (15"">)"
55;HP ProBook 430 G6;"13""";Integrated;"Thin (13""-14"")"
56;Lenovo Ideapad L340-17 Intel;"16"">";Integrated;"Integrated GPU (15"">)"
57;"HUAWEI MateBook D 15.6""";"15""";External None;None
58;ASUS TUF Gaming FX705;"16"">";External GM;"Gamer GPU (15"">)"
59;ASUS ZenBook 14 UX434;"14""";External MS;"Thin (13""-14"")"
60;ASUS ZenBook 13 UX333FA;"13""";Integrated;"Thin (13""-14"")"
61;Lenovo ThinkBook 15;"15""";External MS;"Ex. Mainstream GPU (15"">)"
62;"Xiaomi Mi Notebook Air 12.5"" 2019";"<12""";Integrated;"Mini (<12"")"
63;ASUS VivoBook X540;"15""";External MS;"Ex. Mainstream GPU (15"">)"
64;ASUS TUF Gaming FX505DT;"15""";External GM;"Gamer GPU (15"">)"
65;Acer Nitro 5 (AN515-54);"15""";External GM;"Gamer GPU (15"">)"
66;Apple MacBook Pro 16 with Retina display and Touch Bar Late 2019;"16"">";External MS;"Ex. Mainstream GPU (15"">)"
67;HUAWEI MateBook 13;"13""";External MS;"Thin (13""-14"")"
68;ASUS X507UA;"15""";Integrated;"Integrated GPU (15"">)"
69;Lenovo Legion Y540-15;"15""";External GM;"Gamer GPU (15"">)"
70;HP ProBook 440 G6;"14""";External MS;"Thin (13""-14"")"
71;HP Stream 11-aj0000;"<12""";Integrated;"Mini (<12"")"
72;ASUS ZenBook 15 UX534;"15""";None None;None
73;Lenovo V145;"15""";Integrated;"Integrated GPU (15"">)"
74;Lenovo V130 14;"14""";Integrated;"Thin (13""-14"")"
75;ASUS VivoBook 14 F412;"14""";Integrated;"Thin (13""-14"")"
76;MSI GL65 9SCK;"15""";External GM;"Gamer GPU (15"">)"
77;Xiaomi Mi Gaming Laptop 2019;"15""";External GM;"Gamer GPU (15"">)"
78;ASUS VivoBook Flip 14 TP412;"14""";Integrated;"Thin (13""-14"")"
79;Lenovo Yoga S740;None;External MS;None
80;HP 14-dk0000;"14""";Integrated;"Thin (13""-14"")"
81;ASUS PRO P1440;"14""";External MS;"Thin (13""-14"")"
82;HP 15-db1000;"15""";Integrated;"Integrated GPU (15"">)"
83;HP PAVILION 15-cw1000;"15""";Integrated;"Integrated GPU (15"">)"
84;Lenovo IdeaPad S340-14 AMD;"14""";Integrated;"Thin (13""-14"")"
85;ASUS X540MA;"15""";Integrated;"Integrated GPU (15"">)"
86;MSI GL65 9SDK;"15""";External GM;"Gamer GPU (15"">)"
87;HP PAVILION 14-dh0000 x360;"14""";Integrated;"Thin (13""-14"")"
88;Microsoft Surface Laptop;"13""";Integrated;"Thin (13""-14"")"
89;Acer Extensa 15 EX215-51KG;"15""";External MS;"Ex. Mainstream GPU (15"">)"
90;ASUS VivoBook 14 X412;"14""";Integrated;"Thin (13""-14"")"
91;Acer Extensa 15 EX215-51G;"15""";External MS;"Ex. Mainstream GPU (15"">)"
92;HP ProBook 455 G6;"15""";Integrated;"Integrated GPU (15"">)"
93;Lenovo Ideapad 530s 14 Intel;None;External MS;None
94;DELL G3 15 3590;"15""";External GM;"Gamer GPU (15"">)"
95;Acer ASPIRE 5 (A517-51G);"16"">";External MS;"Ex. Mainstream GPU (15"">)"
96;HUAWEI MateBook X Pro;"13""";External MS;"Thin (13""-14"")"
97;DELL Vostro 3584;"15""";Integrated;"Integrated GPU (15"">)"
98;Lenovo Yoga 530-14 Intel;"14""";Integrated;"Thin (13""-14"")"
99;DELL G5 15 5590;"15""";External GM;"Gamer GPU (15"">)"
100;ASUS ROG GL731;"16"">";External GM;"Gamer GPU (15"">)"
101;HP 15-db0000;"15""";Integrated;"Integrated GPU (15"">)"
102;Acer SWIFT 3 (SF314-57);"14""";Integrated;"Thin (13""-14"")"
103;HP ProBook 450 G6;"15""";External MS;"Ex. Mainstream GPU (15"">)"
104;DELL Inspiron 3593;"15""";External MS;"Ex. Mainstream GPU (15"">)"
105;Google Pixelbook;"<12""";Integrated;"Mini (<12"")"
106;Lenovo Ideapad 330 15 AMD;"15""";External MS;"Ex. Mainstream GPU (15"">)"
107;ASUS Vivobook 17 X705MA;"16"">";Integrated;"Integrated GPU (15"">)"
108;DELL G7 17 7790;"16"">";External GM;"Gamer GPU (15"">)"
109;DELL INSPIRON 5570;"15""";External MS;"Ex. Mainstream GPU (15"">)"
110;ASUS ZenBook Flip 14 UX463;"14""";External MS;"Thin (13""-14"")"
111;MSI GL75 9SCK;"16"">";External GM;"Gamer GPU (15"">)"
112;Lenovo V340-17;"16"">";External MS;"Ex. Mainstream GPU (15"">)"
113;Lenovo ThinkPad E14;"14""";External MS;"Thin (13""-14"")"
114;ASUS VivoBook 15 X505;"15""";Integrated;"Integrated GPU (15"">)"
115;HP 255 G7;"15""";Integrated;"Integrated GPU (15"">)"
116;MSI PS42 Modern 8RA;"14""";External MS;"Thin (13""-14"")"
117;Apple MacBook Air 13 Mid 2017;"13""";Integrated;"Thin (13""-14"")"
118;HP 15-rb000;"15""";Integrated;"Integrated GPU (15"">)"
119;HP 15-da0000;"15""";External MS;"Ex. Mainstream GPU (15"">)"
120;ASUS ROG Strix G GL531;"15""";External GM;"Gamer GPU (15"">)"
121;ASUS X571;None;None None;None
122;DELL INSPIRON 3573;None;None None;None
123;DELL Vostro 5490;"14""";External MS;"Thin (13""-14"")"
124;Acer SWIFT 3 (SF314-58G);"14""";External MS;"Thin (13""-14"")"
125;HP 14-cm0000;"14""";Integrated;"Thin (13""-14"")"
126;Haier U156;"15""";Integrated;"Integrated GPU (15"">)"
127;Lenovo THINKPAD X1 Carbon Ultrabook (7th Gen);"14""";Integrated;"Thin (13""-14"")"
128;ASUS ZenBook 14 UX433FA;"14""";Integrated;"Thin (13""-14"")"
129;Acer Extensa 15 EX215-21;"15""";Integrated;"Integrated GPU (15"">)"
130;Honor MagicBook AMD;"14""";Integrated;"Thin (13""-14"")"
131;Acer Nitro 5 (AN517-51);"16"">";External GM;"Gamer GPU (15"">)"
132;Xiaomi Mi Notebook 15.6 Lite;"15""";Integrated;"Integrated GPU (15"">)"
133;"Xiaomi Mi Notebook Air 12.5""";"<12""";Integrated;"Mini (<12"")"
134;Lenovo ThinkPad Edge E495;"14""";Integrated;"Thin (13""-14"")"
135;HP 17-ca0000;"16"">";Integrated;"Integrated GPU (15"">)"
136;Lenovo IdeaPad S540 15 Intel;"15""";External GM;"Gamer GPU (15"">)"
137;HP PAVILION 14-ce3000;"14""";Integrated;"Thin (13""-14"")"
138;Acer ASPIRE 3 (A317-51);"16"">";Integrated;"Integrated GPU (15"">)"
139;Acer Extensa 15 EX215-51K;"15""";Integrated;"Integrated GPU (15"">)"
140;Apple MacBook Pro 15 with Retina display Mid 2019;"15""";External MS;"Ex. Mainstream GPU (15"">)"
141;ASUS ZenBook 13 UX331UA;"13""";Integrated;"Thin (13""-14"")"
142;HP Envy 13-ad000;"13""";External MS;"Thin (13""-14"")"
143;Lenovo Ideapad L340 (17) Gaming;"16"">";External GM;"Gamer GPU (15"">)"
144;Acer ASPIRE E 15 (E5-576G);"15""";External MS;"Ex. Mainstream GPU (15"">)"
145;HP 14s-dq1000;"14""";Integrated;"Thin (13""-14"")"
146;Lenovo ThinkPad Edge E490;"14""";Integrated;"Thin (13""-14"")"
147;HP 15-da1000;"15""";Integrated;"Integrated GPU (15"">)"
148;ASUS VivoBook Flip 14 TP412UA;"14""";Integrated;"Thin (13""-14"")"
149;Xiaomi Mi Gaming Laptop;"15""";External GM;"Gamer GPU (15"">)"
150;ASUS VivoBook F512DA;"15""";Integrated;"Integrated GPU (15"">)"
